,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,EU27_2020,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
2009 ,288044.0,346472.8,37417.7,402236.6,18675.5,149586.5,2445730.0,231278.0,14211.8,237534.2,1069323.0,10585151.7,181747.0,1936422.0,45064.8,94382.6,169785.8,9419.1,1577255.9,26897.0,36976.5,18855.0,2993.9,6766.5,6259.6,624842.0,278246.6,317040.6,175416.4,125213.9,32486.2,314637.5,36254.9,64095.5,465245.5,1738066.5
2010 ,295896.6,363140.1,38058.1,455933.7,19410.0,157920.8,2564400.0,243165.4,14863.1,224124.0,1072709.0,10977295.6,188143.0,1995289.0,45195.1,99576.3,167673.7,10383.4,1611279.4,28033.8,40177.8,17872.8,3125.1,7108.3,6815.8,639187.0,323760.9,362190.9,179610.8,125472.3,31545.8,374695.2,36363.9,68188.7,584855.7,1872175.5
2011 ,310128.7,375967.8,41268.9,520201.4,19803.0,165202.2,2693560.0,247879.9,16829.2,203308.2,1063763.0,11321808.8,197998.0,2058369.0,44924.6,102020.6,170950.9,10934.3,1648755.8,31317.2,43164.6,20310.5,3264.8,7544.2,6924.6,650359.0,358339.5,379860.0,176096.2,131841.6,35431.7,412844.7,37058.6,71304.5,600961.4,1912869.3
2012 ,318653.0,386174.7,42048.6,538439.0,19440.8,162587.5,2745310.0,254578.0,18050.7,188388.7,1031099.0,11388518.2,201037.0,2088804.0,44007.9,99984.0,175103.9,11479.9,1624358.7,33410.2,44112.1,22219.0,3181.5,7584.8,7364.5,652966.0,396523.5,387947.0,168295.6,132711.2,33679.3,430037.1,36253.3,73575.8,683587.3,2111028.9
2013 ,323910.2,392880.0,41903.5,536632.9,17995.0,159461.5,2811350.0,258742.7,19033.4,179616.4,1020348.0,11517118.7,204321.0,2117189.0,43806.3,102034.3,179616.3,12132.9,1612751.3,35039.5,46499.6,22966.3,3362.5,8149.6,7944.3,660463.0,393408.7,392310.7,170492.3,143690.4,36426.7,441850.7,36454.3,74448.8,719726.6,2096338.0
2014 ,333146.1,403003.3,42890.3,553942.2,17430.2,157821.3,2927430.0,265757.0,20180.0,177349.4,1032158.0,11781640.0,206897.0,2149765.0,43398.6,106061.3,195148.1,13472.6,1627405.6,36581.3,49824.5,23613.9,3457.9,8562.0,8751.1,671560.0,375947.3,408967.8,173053.7,150708.6,35467.5,438833.9,37634.3,76269.8,707000.8,2311080.2
2015 ,344269.2,416701.4,45690.9,632770.5,17884.0,169558.2,3026180.0,273017.6,20782.2,176110.2,1077590.0,12211542.9,211385.0,2198432.0,44612.0,112701.0,262853.3,15795.3,1655355.0,37345.7,52065.8,24560.9,3654.5,9072.3,9996.7,690008.0,347632.1,430465.8,179713.2,160149.8,35740.2,455494.7,38852.6,79767.6,777042.3,2644716.5
2016 ,357608.0,430085.3,48640.2,628729.6,18929.3,177438.5,3134740.0,283109.7,21931.5,174236.9,1113840.0,12550983.8,217518.0,2234129.0,46619.3,116129.8,270809.5,18804.2,1695786.8,38889.9,54867.2,25360.3,3954.2,9656.5,10589.2,708337.0,333471.3,427091.8,186489.8,170063.4,36779.3,466266.5,40443.2,81051.5,785618.9,2434119.2
2017 ,369341.3,444991.1,52329.0,623994.0,20119.9,194132.9,3259860.0,294808.2,23857.7,177151.9,1161867.0,13069697.9,226301.0,2297242.0,49238.5,126891.0,300386.9,21921.5,1736592.8,42276.3,56814.2,26962.3,4299.1,10038.3,11703.5,738146.0,353316.4,467426.6,195947.2,187772.7,39235.3,480025.5,43009.1,84532.2,760497.1,2359789.9
2018 ,385361.9,460419.4,56111.8,623042.2,21432.5,210927.8,3356410.0,302361.1,25937.6,179727.3,1204241.0,13517885.1,233696.0,2360687.0,51950.1,135931.0,326986.1,22174.4,1771565.9,45491.1,60053.1,29142.5,4663.1,10744.0,12587.4,773987.0,370294.3,497842.3,205184.1,204496.9,42892.2,470673.1,45862.6,89505.5,658464.1,2420897.2
2019 ,397575.3,476203.3,61239.5,653470.8,22287.0,223950.3,3449050.0,312747.2,28112.4,183413.5,1244772.0,13963897.4,240261.0,2425708.0,54237.9,146061.8,356051.2,21994.3,1790941.5,48797.4,63516.3,30420.9,4950.7,11209.1,13592.2,810247.0,362242.6,532329.2,213949.3,222997.6,45970.4,474550.5,48392.6,93865.2,679510.4,2526615.2
